AIRPORT SYSTEM AIRCRAFT REPORT
Code;Weight;Capacity;Airline
AM10;72;90;LAN
LN19;61;58;LAN
LN48;94;99;LAN
AM25;82;81;LAN
J29;96;90;LAN
AV48;59;82;LAN
S48;77;71;LAN
I24;99;89;LAN
D8;55;59;LAN
LT45;55;90;LAN
AV42;91;69;LAN
D2;98;89;LAN
S9;59;63;LAN
S22;52;87;LAN
S8;72;84;LAN
AM34;64;88;LAN
V39;94;79;LAN
LT43;61;90;LAN
S29;58;63;LAN
AM18;50;84;LAN
J24;52;61;LAN
V7;77;57;LAN
LN40;63;91;LAN
J12;100;52;LAN
S28;68;95;LAN
LT44;64;89;LAN
S15;64;60;LAN
D18;59;74;LAN
AM45;79;84;LAN
AV38;70;73;LAN
AM42;69;64;LAN
I28;55;97;LAN
S27;86;94;LAN
LN36;82;54;LAN
S39;83;81;LAN
D7;50;96;LAN
LN2;61;78;LAN
AV15;100;96;LAN
J13;91;64;LAN
I37;59;98;LAN
D39;88;94;LAN
V48;77;59;LAN
S36;82;98;LAN
AV23;99;56;LAN
J39;92;66;LAN
I50;98;89;LAN
J20;55;96;LAN
J30;65;97;LAN
LN45;67;61;LAN
D33;62;77;LAN
J18;54;84;LAN
D37;60;96;LAN
LT36;73;90;LAN
S41;87;51;LAN
V11;72;63;LAN
AM12;98;93;LAN
LT18;85;79;LAN
V31;87;81;LAN
AM1;97;68;LAN
LN46;78;62;LAN
AM48;83;82;LAN
V21;72;94;LAN
V8;55;61;LAN
AM47;78;67;LAN
D4;89;100;LAN
D27;50;65;LAN
AV14;67;81;LAN
AV31;100;81;LAN
LT21;87;89;LAN
D20;67;70;LAN
D15;56;85;LAN
V50;58;92;LAN
D44;66;88;LAN
I1;79;77;LAN
AM50;54;90;LAN
I32;81;87;LAN
D43;93;98;LAN
J35;57;56;LAN
V38;56;55;LAN
AM32;89;94;LAN
J14;54;84;LAN
S35;61;88;LAN
J32;51;79;LAN
I25;59;73;LAN
V46;58;86;LAN
V42;92;68;LAN
