AIRPORT SYSTEM MIGRATION REPORT
Code Flight;Approved;Covid;Wanted;Minor;Capital
D167;1;6;4;2;120
J106;4;9;1;8;180
AV144;5;2;8;1;110
S134;9;3;6;3;120
V110;3;3;4;3;100
S104;1;8;8;3;190
AM108;6;6;8;8;220
AV153;6;6;7;9;220
LN127;9;6;6;4;160
LT138;2;7;7;2;160
V174;7;6;6;6;180
LT103;3;8;7;5;200
LT150;8;6;2;5;130
S124;3;6;9;8;230
S180;9;6;7;6;190
LN136;3;5;9;3;170
D157;2;7;5;7;190
LN188;6;8;9;4;210
V122;4;7;6;2;150
LT168;5;4;2;9;150
AV149;6;6;5;3;140
V160;2;4;4;1;90
J140;3;6;2;2;100
J130;1;6;6;3;150
V184;7;7;5;8;200
D146;2;7;5;8;200
LT199;2;1;4;4;90
LT146;8;4;1;4;90
LN134;4;7;5;3;150
LT105;5;2;7;2;110
AV195;2;8;8;1;170
AV182;8;1;9;6;160
AM145;1;9;6;2;170
LT177;4;9;6;2;170
LT170;4;5;3;5;130
LT184;3;1;8;6;150
J136;5;4;1;7;120
V135;9;6;7;8;210
J140;5;3;1;5;90
AM118;1;8;1;3;120
J139;1;6;1;4;110
AV150;9;9;6;3;180
LT121;6;9;8;5;220
AM124;3;1;4;6;110
S101;2;2;2;1;50
I174;5;7;3;6;160
AM180;3;9;4;4;170
D196;8;5;8;1;140
D173;1;6;4;6;160
AM144;7;9;1;3;130
LT181;2;3;7;5;150
D164;4;5;8;8;210
LT109;4;7;4;8;190
D131;8;1;4;2;70
AV174;9;6;2;5;130
S193;2;2;4;8;140
LN130;5;2;9;1;120
S129;6;8;8;5;210
LT140;8;7;9;6;220
AV176;7;4;4;4;120
AM148;9;6;5;8;190
AV113;8;9;5;1;150
I180;5;1;3;5;90
LN152;4;3;1;2;60
S172;1;9;7;7;230
I138;7;9;1;4;140
S157;2;6;1;3;100
AV174;6;1;5;4;100
V165;7;2;2;3;70
AM151;4;1;6;9;160
AV128;3;3;8;5;160
J175;1;6;7;3;160
I197;7;8;1;1;100
D176;3;1;5;1;70
D116;7;5;7;7;190
V195;1;8;7;4;190
LN193;8;8;9;2;190
D139;9;2;6;6;140
AV197;7;7;6;2;150
LN186;4;2;3;7;120
J166;6;6;7;1;140
LN189;3;3;8;5;160
S131;3;6;2;1;90
LN102;4;2;6;4;120
AM127;9;9;9;7;250
S114;5;2;6;5;130
LN195;8;5;6;6;170
AV166;7;4;3;9;160
AM190;4;5;9;1;150
S185;7;4;4;5;130
J195;7;9;3;8;200
S116;8;8;2;7;170
S140;3;7;2;3;120
LN175;8;3;9;8;200
AV134;8;8;6;8;220
S176;9;8;6;3;170
S161;9;4;9;4;170
I164;7;8;7;9;240
V155;4;5;8;4;170
V101;5;8;2;5;150
