AIRPORT SYSTEM TRACKS REPORT
Code;Gate;Status
1;D5;ACTIVE
2;F4;ACTIVE
3;I4;ACTIVE
4;B8;INACTIVE
5;H5;ACTIVE
6;K6;ACTIVE
7;D3;ACTIVE
8;J5;ACTIVE
9;C7;ACTIVE
10;D4;ACTIVE
11;I8;ACTIVE
12;D4;ACTIVE
13;C3;ACTIVE
14;F8;ACTIVE
15;C5;ACTIVE
16;H5;ACTIVE
17;F10;ACTIVE
18;I9;ACTIVE
19;J2;ACTIVE
20;A8;ACTIVE
21;K8;ACTIVE
22;A3;ACTIVE
23;D1;ACTIVE
24;E9;ACTIVE
25;B1;ACTIVE
26;J1;ACTIVE
27;K5;ACTIVE
28;B8;ACTIVE
29;D3;ACTIVE
30;J9;ACTIVE
31;F10;ACTIVE
32;I8;ACTIVE
33;B9;ACTIVE
34;E7;ACTIVE
35;I9;ACTIVE
36;K3;ACTIVE
37;A1;ACTIVE
38;F6;ACTIVE
39;A7;ACTIVE
40;D8;ACTIVE
41;B10;ACTIVE
42;I7;ACTIVE
43;J1;ACTIVE
44;F10;ACTIVE
45;I4;ACTIVE
46;F4;ACTIVE
47;A3;ACTIVE
48;I9;ACTIVE
49;B9;ACTIVE
50;H10;ACTIVE
51;B9;ACTIVE
52;H10;ACTIVE
53;B2;ACTIVE
54;C9;ACTIVE
55;J10;ACTIVE
56;H5;ACTIVE
57;I6;ACTIVE
58;A2;ACTIVE
59;E10;ACTIVE
60;K2;ACTIVE
61;C10;ACTIVE
62;H7;ACTIVE
63;C4;ACTIVE
64;G4;ACTIVE
65;B2;ACTIVE
66;D4;ACTIVE
67;F3;ACTIVE
68;A2;ACTIVE
69;D3;ACTIVE
70;K1;ACTIVE
71;I8;ACTIVE
72;B2;ACTIVE
73;H10;ACTIVE
74;D6;ACTIVE
75;A3;ACTIVE
76;J1;ACTIVE
77;D8;ACTIVE
78;B10;ACTIVE
79;C10;ACTIVE
80;A7;ACTIVE
81;C8;ACTIVE
82;J8;ACTIVE
83;G5;ACTIVE
84;C6;ACTIVE
85;I9;ACTIVE
86;K4;ACTIVE
87;K9;ACTIVE
88;F3;ACTIVE
89;E10;ACTIVE
90;C10;ACTIVE
91;E8;ACTIVE
92;I1;ACTIVE
93;F10;ACTIVE
94;K5;ACTIVE
95;G7;ACTIVE
96;E1;ACTIVE
97;K2;ACTIVE
98;E1;ACTIVE
99;H5;ACTIVE
100;G6;ACTIVE
